,States,year,month,Segment,Labor Force,Unemployed,Unemployment Rate (%),Trump (%),Biden (%),New Case,New Case Per 10$^6$,New Death,New Death Per 10$^6$
124,Texas,2020,6,6-1,13804462.0,1197961.0,8.68,43.27,50.36,1182.5625,4.12063,27.5625,0.09625
125,Texas,2020,6,6-2,13831381.5,1174790.5,8.495000000000001,43.64,48.68,1700.4667,5.924,25.1333,0.088
126,Texas,2020,7,7-1,13858301.0,1151620.0,8.31,43.97,49.95,4863.4,16.946,36.2667,0.12533
127,Texas,2020,7,7-2,14094337.0,1075939.5,7.6450000000000005,42.68,49.17,8528.4667,29.714,93.4,0.32533
128,Texas,2020,8,8-1,14330373.0,1000259.0,6.98,43.71,50.34,9285.9375,32.35438,199.9375,0.69687
129,Texas,2020,8,8-2,14269358.5,1088924.0,7.635,43.71,49.63,7286.3333,25.386,197.4667,0.68733
130,Texas,2020,9,9-1,14208344.0,1177589.0,8.29,43.88,51.23,5439.375,18.95125,156.875,0.54625
131,Texas,2020,9,9-2,14151318.0,1063940.5,7.515,43.37,53.3,4057.5333,14.13667,121.3333,0.42267
132,Texas,2020,10,10-1,14094292.0,950292.0,6.74,44.97,49.95,5394.9333,18.79533,94.8,0.33
133,California,2020,10,10-2,,,,45.06,51.2,3268.8667,8.26333,63.1333,0.158
134,Florida,2020,10,10-2,,,,45.06,51.2,2564.8,12.04133,94.6,0.44467
135,Florida,2020,11,11-1,,,,48.9,46.88,3597.4375,16.88875,64.0625,0.29938
136,Georgia,2020,10,10-2,,,,45.06,51.2,1214.3333,11.544,31.4,0.29933
137,Georgia,2020,11,11-1,,,,48.9,46.88,1534.3125,14.585,30.4375,0.28875
138,New York,2020,10,10-2,,,,45.06,51.2,1383.4,7.07933,13.3333,0.06867
139,Pennsylvania,2020,10,10-2,,,,45.06,51.2,1225.8,9.57,18.8667,0.14667
140,Pennsylvania,2020,11,11-1,,,,48.9,46.88,1894.0625,14.78937,24.1875,0.18875
141,Texas,2020,10,10-2,,,,45.06,51.2,4440.5333,15.47067,83.9333,0.29133
142,Wisconsin,2020,10,10-2,,,,45.06,51.2,2670.0667,45.92867,19.5333,0.33467
143,California,,11,11-1,,,,,,3999.6875,10.11,51.6875,0.13062
144,California,,11,11-2,,,,,,6663.4667,16.84467,40.2,0.102
145,Florida,,11,11-2,,,,,,5510.2667,25.87067,50.4667,0.236
146,Georgia,,11,11-2,,,,,,4279.9333,40.68533,65.2,0.61933
147,New York,,11,11-1,,,,,,1758.9375,9.00125,12.875,0.06688
148,New York,,11,11-2,,,,,,3510.4667,17.96467,20.1333,0.10267
149,Pennsylvania,,11,11-2,,,,,,3727.0,29.1,32.6667,0.25467
150,Texas,,11,11-1,,,,,,6059.9375,21.11375,73.6875,0.25688
151,Texas,,11,11-2,,,,,,8818.5333,30.72467,102.1333,0.35533
152,Wisconsin,,11,11-1,,,,,,4721.5,81.21375,40.25,0.6925
153,Wisconsin,,11,11-2,,,,,,6137.0,105.564,27.4667,0.47333
